city_id,city_name,country_code,official_name_local,display_name_ko,official_name_en,category,source_url,notes
kr-yeosu,여수,KR,여수해상케이블카,여수해상케이블카,Yeosu Maritime Cable Car,activity,https://www.yeosu.go.kr/tour,official city tourism seed for first-pass city comparison
kr-yeosu,여수,KR,오동도,오동도,Odongdo Island,island,https://www.yeosu.go.kr/tour,official city tourism seed for first-pass city comparison
kr-yeosu,여수,KR,향일암,향일암,Hyangiram Hermitage,temple,https://www.yeosu.go.kr/tour,official city tourism seed for first-pass city comparison
kr-yeosu,여수,KR,여수밤바다,여수밤바다,Yeosu Night Sea,area,https://www.yeosu.go.kr/tour,official city tourism seed for first-pass city comparison
kr-yeosu,여수,KR,아쿠아플라넷 여수,아쿠아플라넷 여수,Aqua Planet Yeosu,aquarium,https://www.yeosu.go.kr/tour,official city tourism seed for first-pass city comparison
kr-yeosu,여수,KR,이순신광장,이순신광장,Yi Sun-sin Square,landmark,https://www.yeosu.go.kr/tour,official city tourism seed for first-pass city comparison
kr-yeosu,여수,KR,돌산공원,돌산공원,Dolsan Park,park,https://www.yeosu.go.kr/tour,official city tourism seed for first-pass city comparison
kr-yeosu,여수,KR,금오도 비렁길,금오도 비렁길,Geumodo Bireong-gil,trail,https://www.yeosu.go.kr/tour,official city tourism seed for first-pass city comparison
kr-daejeon,대전,KR,엑스포과학공원,엑스포과학공원,Expo Science Park,park,https://www.daejeon.go.kr/tou/index.do,official city tourism seed for first-pass city comparison
kr-daejeon,대전,KR,한밭수목원,한밭수목원,Hanbat Arboretum,park,https://www.daejeon.go.kr/tou/index.do,official city tourism seed for first-pass city comparison
kr-daejeon,대전,KR,대전오월드,대전오월드,Daejeon O-World,theme_park,https://www.daejeon.go.kr/tou/index.do,official city tourism seed for first-pass city comparison
kr-daejeon,대전,KR,유성온천,유성온천,Yuseong Hot Springs,hot_spring,https://www.daejeon.go.kr/tou/index.do,official city tourism seed for first-pass city comparison
kr-daejeon,대전,KR,계족산 황톳길,계족산 황톳길,Gyejoksan Red Clay Trail,trail,https://www.daejeon.go.kr/tou/index.do,official city tourism seed for first-pass city comparison
kr-daejeon,대전,KR,장태산자연휴양림,장태산자연휴양림,Jangtaesan Recreational Forest,forest,https://www.daejeon.go.kr/tou/index.do,official city tourism seed for first-pass city comparison
kr-daejeon,대전,KR,대청호오백리길,대청호오백리길,Daecheongho Obaengni-gil,trail,https://www.daejeon.go.kr/tou/index.do,official city tourism seed for first-pass city comparison
kr-daejeon,대전,KR,국립중앙과학관,국립중앙과학관,National Science Museum,museum,https://www.daejeon.go.kr/tou/index.do,official city tourism seed for first-pass city comparison
